0	Idiomas
1	{action}. Módulo: {module}. La declaración, las notas originales y la implementación que aparecen a continuación especifican las unidades, los terminadores y las condiciones de retorno.
2	Código de salida de compilación: {build} / Ejecución: {runtime}
3	Captura de {id} en el emulador
4	{count} entradas. Abre una entrada para consultar su sintaxis, argumentos, notas del código fuente y ejemplo de uso. Los fragmentos de llamada requieren inicialización previa; no son ROM independientes. Los nuevos ejemplos de paso de argumentos muestran cómo llegar a la API con los valores preparados, pero no demuestran su funcionamiento en el dispositivo.
5	. Para arrays y punteros, reserva memoria suficiente y mantenla válida hasta que termine el procesamiento.
6	. Incluye también las unidades que proporcionan las demás funciones a las que llama.
7	. Las notas originales y las condiciones de retorno de la implementación definen el significado y los valores de éxito o fallo.
8	000 al inicio; A incrementa el contador una vez por pulsación
9	001; sin funciones de retorno registradas
10	001; ejemplo numérico del grupo de objetos, sin composición de proyectiles sobre el fondo
11	001; el registro de trazas contiene HP=42
12	042 después de un paso; este ejemplo utiliza píxeles enteros
13	042 y un tono de onda de pulso
14	042 y un breve tono de onda de pulso
15	042 en morado sobre blanco; modo CGB
16	042: coordenadas en píxeles enteros
17	042: coordenada mundial x=52 menos posición de cámara x=10
18	042; copia de datos de la ROM fija del banco 0
19	042; integración explícita en el juego mediante las constantes de la cabecera
20	042; el historial contiene (20,30)
21	042; tres bytes con el valor 42 cada uno
22	255 con el enlace desconectado; 000 si vence el tiempo de espera; valor del otro extremo si está conectado
23	4 en (3,8)
24	Un sprite en pantalla
25	HELLO WORLD y 042
26	Mayúsculas, minúsculas, números y los 30 signos suministrados
27	La letra A en la posición del sprite
28	El título se mueve a la izquierda al aumentar SCX
29	El título se desplaza horizontalmente
30	Valores de 000 a 009; la misma semilla repite la secuencia
31	Movimiento y colisiones en 2D
32	Física de cajas AABB en 3D
33	Identificadores de recursos y descriptores de datos
34	Desplazamiento del fondo, la ventana y las zonas divididas
35	Acceso a código y datos por bancos
36	Tipos enteros básicos
37	Tableros, listas de jugadas y deshacer
38	Grupos de proyectiles, abanicos, impactos y roces
39	Estado, pulsación, liberación y repetición de botones
40	Funciones auxiliares C para NMI, OAM y transferencias a la PPU
41	Paletas de fondo y OBJ de CGB
42	Números y atributos de tiles de CGB
43	Física de círculos
44	Gráficos de alambre en color para CGB
45	Funciones intrínsecas del compilador
46	Comunicación DMG-07 con reloj externo
47	Operaciones directas sobre la PPU
48	Operaciones de disco FDS
49	Código superpuesto de FDS
50	Declaraciones de guardado de FDS
51	Sonido por tabla de ondas de FDS
52	Aritmética entera rápida
53	Interfaz intrínseca de punto fijo
54	Arrays de actores del juego
55	Macros de operaciones para juegos
56	Repetición al mantener pulsado un botón
57	Imágenes compuestas por varios sprites
58	Exploración del teclado
59	Interfaz de entrada de pistola de luz
60	Carga de archivos FDS
61	Tablas de consulta
62	Interfaz de entrada y salida MIDI
63	Bancos e interrupciones del mapper
64	Entrada de micrófono
65	Reproducción musical mediante la interrupción VBlank
66	Música, efectos de sonido y control de audio
67	Entrada de mandos NES
68	Paletas NES
69	Recursos de tablas de nombres y su colocación
70	Atributos de tablas de nombres
71	Operaciones sobre la copia de OAM en RAM
72	Reserva y posición de OBJ, metasprites y animación
73	Grupos de objetos basados en arrays fijos
74	Declaraciones de visualización de la PPU
75	Aritmética de punto fijo Q8.8 y rectángulos
76	Actualizaciones de VRAM en cola y transferencias
77	Registros y aserciones en RAM
78	Control de ROB
79	Números aleatorios, texto, mapas, guardado y servicios RPG/ADV/SLG
80	Pruebas de colisión de rectángulos y otras figuras
81	Operaciones rectangulares sobre mapas de tiles
82	Búferes circulares para el historial de posiciones
83	Registro, cambio y actualización de escenas
84	Tablas de desplazamiento por franjas y líneas de barrido
85	Comunicación serie y paquetes lógicos
86	Implementación de la alternancia de sprites
87	Alternancia de sprites con prioridades
88	Arranque, contadores de fotogramas, esperas e interrupciones
89	Cabecera que reúne la biblioteca
90	Colas de VRAM procesadas por NMI
91	Audio de expansión VRC6
92	Audio FM de VRC7
93	Gráficos de alambre para DMG
94	Coordenadas del mundo y áreas visibles
95	Gráficos de alambre monocromos de 128×120 para DMG
96	Avanzar un paso de procesamiento
97	Añadir datos
98	Aplicar las actualizaciones acumuladas
99	Borrar el contenido o el estado
100	Copiar datos
101	Crear datos de dibujo
102	Desactivar una función
103	Activar una función
