000	選擇語言
001	{action}。模組：{module}。確切單位、結束標記與傳回條件，請查閱下方宣告、原始說明和實作。
002	建置結束碼：{build} / 執行狀態：{runtime}
003	{id} 的模擬器畫面擷取
004	共 {count} 個項目。展開可查看語法、引數、原始碼說明與範例。呼叫片段依賴周邊初始化，不能單獨建置 ROM。新增的引數傳遞範例只說明如何將備妥的值交給 API，不代表已完成裝置層級驗證。
005	。陣列與指標需有足夠空間，並在處理結束前保持有效。
006	。還須加入它所呼叫的其他函式實作。
007	。值的意義和成功、失敗傳回值，以原始說明及實作中的傳回條件為準。
008	初始為 000，每次新按下 A 增加一次
009	001，未註冊回呼
010	001，數值物件池範例，不使用子彈背景合成
011	001，追蹤日誌記錄 HP=42
012	推進一步後為 042；本例使用整數像素
013	顯示 042 並發出脈衝音
014	顯示 042 並發出短脈衝音
015	CGB 模式下，白底紫色 042
016	042，整數像素座標
017	042，即世界 x=52 減去鏡頭 x=10
018	042，從 bank 0 固定 ROM 複製資料
019	042，遊戲使用標頭常數明確進行積分
020	042，歷史中包含 (20,30)
021	042，三個位元組各為 42
022	未連線為 255，逾時為 000，連線時顯示對端值
023	在 (3,8) 顯示 4
024	畫面上顯示一個精靈
025	顯示 HELLO WORLD 和 042
026	顯示大寫、小寫、數字及全部 30 個符號
027	在精靈位置顯示字母 A
028	SCX 增加時標題向左移動
029	標題水平捲動
030	數值範圍 000～009；相同種子重現相同序列
031	2D 運動與碰撞
032	3D AABB 物理
033	素材 ID 與資料描述
034	背景、視窗與分割捲動
035	考慮 bank 的程式碼與資料存取
036	基本整數型別
037	棋盤、行動清單與復原
038	彈池、扇形發射、命中與擦彈
039	按鈕狀態、按下、放開及重複
040	NMI、OAM 與 PPU 傳輸用 C 輔助函式
041	CGB 背景與 OBJ 調色盤
042	CGB 圖塊編號與屬性
043	圓形物體物理
044	CGB 彩色線框
045	編譯器內建函式
046	DMG-07 外部時脈通訊
047	直接 PPU 操作
048	FDS 磁碟操作
049	FDS 覆疊模組程式碼
050	FDS 儲存功能宣告
051	FDS 波表音源
052	快速整數運算
053	定點數內建介面
054	遊戲 actor 陣列
055	遊戲操作巨集
056	長按重複輸入
057	由多個精靈組成的圖像
058	鍵盤掃描
059	光線槍輸入介面
060	載入 FDS 檔案
061	查找表
062	MIDI 輸入輸出介面
063	Mapper bank 與 IRQ
064	麥克風輸入
065	透過 VBlank IRQ 播放音樂
066	音樂、音效與音訊控制
067	NES 控制器輸入
068	NES 調色盤
069	名稱表素材與放置
070	名稱表屬性
071	OAM 影子緩衝區操作
072	OBJ 配置、定位、組合精靈與動畫
073	固定陣列物件池
074	PPU 顯示宣告
075	Q8.8 定點運算與矩形
076	VRAM 佇列更新與傳輸
077	RAM 紀錄與斷言
078	ROB 控制
079	亂數、文字、地圖、儲存及 RPG/ADV/SLG 功能
080	矩形與其他碰撞測試
081	矩形圖塊地圖操作
082	位置歷史環狀緩衝區
083	場景註冊、切換與更新
084	分段及逐掃描線捲動表
085	序列通訊與邏輯封包
086	精靈輪替實作
087	保留優先順序的精靈輪替
088	啟動、影格計數、等待與中斷
089	函式庫統整標頭
090	由 NMI 處理的 VRAM 佇列
091	VRC6 擴充音源
092	VRC7 FM 音源
093	DMG 線框
094	世界座標與可見區域
095	DMG 的 128×120 單色線框
096	推進一個處理步驟
097	附加資料
098	套用累積更新
099	清除內容或狀態
100	複製資料
101	產生繪圖資料
102	關閉功能
103	啟用功能
104	填滿區域
105	取得數量
106	載入資料
107	執行引數指定的操作
108	準備初始狀態
109	讀取數值
110	移除並取出資料
111	重設狀態
112	取得數值或狀態
113	儲存資料
114	設定數值或執行條件
115	更新狀態
116	等待條件成立
117	寫入數值
118	推進音樂、音效與淡入淡出，通常每影格一次。
